cinema ID number,objectid,filename,title,alternatives names,venue type,opened,date,closed,county,city,street,location,proprietor,manager,projectionist,musical director,soloists,architect,seats,projector,description,references,notes,latitude,longitude,field1
114,Cinema114,,"Picture Palace, Mullingar",Fitzmaurice's,Cinema,26-Jan-14,1914,,Westmeath,Mullingar,Dominick Street,"Mullingar, County Westmeath",John Fitzmaurice,,,,Cornetist,,400,,Proprieter: John FitzmauriceManager: Musical Director: ,"WME 31/01/1914 (opening, address); Bio 12/03/1914 (opening), 10/12/1914 (nightly changes), 01/04/1915 (error in report), 11/02/1915 (cornet)",,,,0
115,Cinema115,,"Grand Cinema, Lurgan",Hippodrome,Cinema,01-Nov-14,1914,21/08/1921,Armagh,Lurgan,"48 Church Place, Main Street","Lurgan, County Armagh",Sam Hewitt,H. G. Austin,,,,,1000,,Proprieter: Sam HewittManager: H. G. AustinMusical Director: ,"Bio 05/11/1914 (open, Hewitt), 01/04/1915 (opening); IL 10/1917 (Hippodrome); Rocketts (address)",Opening date based on first mention in Bio,54.46313571591747,6.333356219826199,0
116,Cinema116,,Frontier Picture House,"Mitchel Memorial Hall, Foresters' Hall",Cinema,03-Apr-13,1913,,Down,Newry,2-3 Needham Place (now John Mitchel Place),"Newry, County Down",,"McCourt, inclair Ormond",,,,,300,,"Proprieter: Manager: McCourt, inclair OrmondMusical Director: ","FS 01/03/1913 (opening as Mitchel Memorial Hall); Bio 30/10/1913 (McCourt, seats)",Opening date based on first Bio mention,54.17206105320437,-6.337374635135729,0
117,Cinema117,,"Imperial, Newry",,Cinema,08-Apr-12,1912,,Down,Newry,St Mary Street,"Newry, County Down",,J.W. Wiffen (1912); Casey,,,,,,,Proprieter: Manager: J.W. Wiffen (1912); CaseyMusical Director: ,"Bio 11/04/1912 (mention), 30/10/1913 (Casey); KLW 06/06/1912 (Wiffen)",Opening date based on first Bio mention,54.17525193315537,-6.339035973014171,0
118,Cinema118,,"Cinema Theatre, Navan",,Cinema,20-Feb-14,1914,,Meath,Navan,Academy Street,"Navan, County Meath",Hibernian Picturedromes (E. Hope-Johnstone),Alf Thomas (Mar. 1913-Nov. 1914)),,,,,450,,Proprieter: Hibernian Picturedromes (E. Hope-Johnstone)Manager: Alf Thomas (Mar. 1913-Nov. 1914))Musical Director: ,"Meath Chronicle 28/02/1914 (opening); Bio 12/03/1913 (opening), 18/12/1913 (seats), 18/06/1914, 06/05/1915 (films)",Opening date approximate,53.65035030050696,-6.681608364867505,0
119,Cinema119,,Navan Picture Palace,,Cinema,27-Feb-14,1914,,Meath,Navan,17 Ludlow Street,"Navan, County Meath",Navan Picture House Co.,Kennedy,,,,,,,Proprieter: Navan Picture House Co.Manager: KennedyMusical Director: ,"Meath Chronicle 28/02/1914 (opening); Bio 12/03/1913 (company, street)",,53.65060516871432,-6.681941302849266,0
120,Cinema120,,Youghal Picture Palace,,Cinema,29-Oct-14,1914,,Cork,Youghal,Friar Street,"Youghal, County Cork",Reuben Hurst (1913-1921); William Shanly (1921-23);,R. Neville,J. Finn,,,,800,Two Gaumont Chronos,Proprieter: Reuben Hurst (1913-1921); William Shanly (1921-23);Manager: R. NevilleMusical Director: ,"Bio 29/10/1914 (open, Neville, seats, manager, projector), 10/12/1914, 11/02/1915 (4-day opening), 13/11/1919 (Reuben Hurst, auction), 20/09/1923 (Shanly, auction)",,51.95060628491081,7.84459910400381,0
121,Cinema121,,Horgan's Picture Palace,,Cinema,23-Dec-17,1917,,Cork,Youghal,Friar Street,"Youghal, County Cork",Horgan,Horgan,,,,,,,Proprieter: HorganManager: HorganMusical Director: ,Bio 10/12/1914 (planned); Rocketts 392 (opening date),,51.95046711951821,7.844524466260762,0
122,Cinema122,,National Picture Palace,National Picture House; Bosco's (1917),Cinema,,1899,,Westmeath,Mullingar,Dominick Street,"Mullingar, County Westmeath",W. J. Toner,William Kay,George Moiselle,,,,,Powers No. 6,Proprieter: W. J. TonerManager: William KayMusical Director: ,"Bio 17/12/1914 (Moiselle, projector), 04/02/1915 (varieties), 11/02/1915, 18/03/1915 (Keystones), 06/05/1915 (films)",,,,0
123,Cinema123,,"Picture House, Carlow",,Cinema,08-Feb-15,1915,,Carlow,Carlow,Burrin Street,"Carlow, County Carlow","Thompson, John Hannah (1923)","Louis E. Forster, Joseph Carter (1923)",,,,,400,Two Pathe,"Proprieter: Thompson, John Hannah (1923)Manager: Louis E. Forster, Joseph Carter (1923)Musical Director: ","Bio 04/02/1915 (Thompson), 11/02/1915 (opening), 20/05/1915 (address); NLT 31/03/1923 (Carter, Hannah)",Ticket checker David Mulhall Wicklow People 25/12/1920,52.836021,-6.932108,0
124,Cinema124,,"Picture House, Lurgan",,Cinema,,1899,,Armagh,Lurgan,,"Lurgan, County Armagh",Irish Empire Palaces,Clarke,,,,,,,Proprieter: Irish Empire PalacesManager: ClarkeMusical Director: ,,,,,0
125,Cinema125,,Clonmel Picture Theatre,Magner's Theatre,Cinema,28-Jan-14,1914,,Tipperary,Clonmel,1 Davis Road,"Clonmel, County Tipperary",J. Magner,J. Walsh,,,,"Alleyn O'Malley Lovell, Waterford",810,Express,Proprieter: J. MagnerManager: J. WalshMusical Director: ,"NT 17/01/1914 (opening), ; Bio 24/10/1912 (plan, Lovell), 12/02/1914 (Express), 22/04/1915","Opened with play General John Regan, which was controversial",52.35471973264666,7.693508840369861,0
126,Cinema126,,"Cinema House, Drogheda",Whitworth Electric Picture Hall (1911),Cinema,29-Nov-11,1911,,Louth,Drogheda,Lawrence Street,"Drogheda, County Louth",Dundealgan Picture Company,Jack O'Mahony,,,,,,,Proprieter: Dundealgan Picture CompanyManager: Jack O'MahonyMusical Director: ,"Drogheda Indo 25/11/1911 (opening); Bio 28/05/1914 (Mahoney, company), 22/04/1915, 06/05/1915 (films); KLW 16/07/1914 (Jack O'Mahony)",,,,0
127,Cinema127,,Shamrock Picture House,,Cinema,01-Jan-15,1915,,Wicklow,Arklow,21 Main Street,"Arklow, County Wicklow",John F. Evans,,,,,,,,Proprieter: John F. EvansManager: Musical Director: ,Cine Yr Book 1915,"Opening date estimated. Proprietor likely John Fairbrother Evans, House Agent (Census 1911)","52.798162, -6.154550",-6.154550,0
128,Cinema128,,"Picture House, Portadown",,Cinema,15-Aug-12,1912,,Armagh,Portadown,Bridge Street,"Portadown, County Armagh","John Macay (-1912); Irish Empire Palaces (Captain J. F. Pinchin, John Macay, A. T. Wright, M. V. Blacker-Douglas)",W.A. Campbell (1912); Mr West,William Branagh (Nov. 1914-),,,,,,"Proprieter: John Macay (-1912); Irish Empire Palaces (Captain J. F. Pinchin, John Macay, A. T. Wright, M. V. Blacker-Douglas)Manager: W.A. Campbell (1912); Mr WestMusical Director: ","Portadown News 17/08/1912 (opening, Campbell, etc.); Bio 07/03/1912 (company, address), 12/11/1914 (West, Branagh)",,,,0
129,Cinema129,,People's Picture Palace,City Cinema,Cinema,01-Mar-13,1913,,Armagh,Armagh,8 Market Street,"Armagh, County Armagh",,Dr Ormonde,,,,,,Ernemann,Proprieter: Manager: Dr OrmondeMusical Director: ,"Bio 23/01/1913 (construction), 06/03/1913 (open), 05/06/1913 (Ormonde), 26/06/1913 (benefit) 27/11/1913 (projector), 05/03/1914, 16/07/1914 (wound up?); Cine Yr Book 1915 (address)",Date of opening approximate; former Irish National Foresters' Hall,,,0
130,Cinema130,,Dundalk Electric Theatre,Market Street Picture House,Cinema,17-Nov-13,1913,,Louth,Dundalk,Market Street,"Dundalk, County Louth",Irish Empire Palaces,Louis E. Forster,,,,,,,Proprieter: Irish Empire PalacesManager: Louis E. ForsterMusical Director: ,"Bio 20/11/1913 (proprietor, Forster),",Opening date based on Bio article. Closed in summer 1913,54.005186,-6.401164,0
131,Cinema131,,Town Hall Picture Palace,,Multipurpose venue,12-Aug-12,1912,,Louth,Dundalk,Crowe Street,"Dundalk, County Louth",Dundealgan Picture Company,"Eric Thornber (1912), J. Gormley",,,,,1000,Ernemann,"Proprieter: Dundealgan Picture CompanyManager: Eric Thornber (1912), J. GormleyMusical Director: ","DD 10/08/1912 (opening); Bio 24/10/1912 (Thornber, seats, price), 16/10/1913 (Gormley), 20/11/1913",,"54.004643105932736, -6.400745092067259",-6.400745092067259,0
132,Cinema132,,"Picture Palace, Derry",,Cinema,08-Apr-12,1912,,Derry,Derry,34 Shipquay Street,"Derry, County Derry","Irish Living Picture Company (W. Payne Seddon, W. Oliver and G. Robertson)","Charles Bronson, Gerald James",Mr. Sheridan,Mrs Bronson,,John Valentine Johnston,413,Gaumont,"Proprieter: Irish Living Picture Company (W. Payne Seddon, W. Oliver and G. Robertson)Manager: Charles Bronson, Gerald JamesMusical Director: Mrs Bronson","DP 06/04/1912 (decoration, projector, Bronson), 13/04/1912 (opening), 20/04/1912 (Bronson); Bio 08/02/1912 (company), 16/10/1913 (James), 20/11/1913 (reopened, variety); DJ 09/02/1920 (seats)",,54.99690817019513,-7.320242916438629,0
133,Cinema133,,"Town Hall Picture House, Galway",,Multipurpose venue,04-Nov-12,1912,,Galway,Galway,Courthouse Square,"Galway, County Galway",Irish Animated Picture Company (J. T. Jameson and Sons),J. J. Martin (1916),,,,,,,Proprieter: Irish Animated Picture Company (J. T. Jameson and Sons)Manager: J. J. Martin (1916)Musical Director: ,"Bio 20/11/1913, 11/06/1914; GI 12/11/2014 (history)",,53.2761936049259,-9.053978509625138,0
134,Cinema134,,St Columb's Hall,,Multipurpose venue,24-Mar-13,1913,,Derry,Derry,Orchard Street,"Derry, County Derry",London Motion Picture Company (Joseph Donaghy),Fred Nicholls,,,,,2500,,Proprieter: London Motion Picture Company (Joseph Donaghy)Manager: Fred NichollsMusical Director: ,"DP 29/03/1913 (opening, Donaghy, London, Nicholls); Bio 27/11/1913 (Nicholls), 05/02/1914 (music hall); KLW 30/10/1913 (seats)",Opening date based on first Bioscope mention,54.99555983536293,-7.318766840116858,0
135,Cinema135,,"Foresters' Hall, Carrickmacross",,Multipurpose venue,27-Nov-13,1913,,Monaghan,Carrickmacross,,"Carrickmacross, County Monaghan",,,,,,,,,Proprieter: Manager: Musical Director: ,Bio 27/11/1913; KLW 02/11/1916,Three nights a week (1913),,,0
136,Cinema136,,"Orange Hall, Newry",,Multipurpose venue,24-Nov-13,1913,,Down,Newry,Downshire Road,"Newry, County Down",,Sinclair Ormond,,,,,,,Proprieter: Manager: Sinclair OrmondMusical Director: ,Bio 27/11/1913 (film),Opening date based on first Bio mention,54.181118,-6.334012,0
137,Cinema137,,"Hale's Tours, Dublin",,Cinema,03-Jun-07,1907,,Dublin,Dublin,South Anne Street,"Dublin, County Dublin",,,,,,,,,Proprieter: Manager: Musical Director: ,,Date of opening approximate based on Bio coverage,,,0
138,Cinema138,,"Picture Palace, Ballymena",,Cinema,21-Oct-12,1912,,Antrim,Ballymena,Mill Street,"Ballymena, County Antrim",Irish Living Picture Company (W. Payne-Seddon); R. L. Sheridan,"R.W. Mitchell (1912-), Bert Holloway",,"Dr Cooney (pianist, 1912-), Bert Holloway (pianist)",,,,,"Proprieter: Irish Living Picture Company (W. Payne-Seddon); R. L. SheridanManager: R.W. Mitchell (1912-), Bert HollowayMusical Director: Dr Cooney (pianist, 1912-), Bert Holloway (pianist)","Bio 19/02/1914 (company, construction), 26/02/1914 (company); Ballymena Observer 18/10/1912 (opening, Town Hall, Payne-Seddon, Mitchell), 25/10/1912 (Cooney, films), 12/02/1915 (street), 26/03/1915 (Holloway)",,54.86421524753188,-6.2761989250784955,0
139,Cinema139,,"Bijou Palace, Derry",,Cinema,01-Sep-09,1909,,Derry,Derry,Carlisle Road,"Derry, County Derry",,,,,,,,,Proprieter: Manager: Musical Director: ,"DJ 26/04/1909, 28/04/1909 (Carlisle); Bio 02/09/1909 (Bijou), 19/02/1914 (sale)",Opening date based on first Bioscope mention,,,0
140,Cinema140,,"Electric, Oldcastle",,Cinema,22-Jan-14,1914,,Meath,Oldcastle,Lenox (later Oliver Plunkett) Street,"Oldcastle, County Meath",Charles Fox,Charles Fox,,,,,,,Proprieter: Charles FoxManager: Charles FoxMusical Director: ,"Meath Chronicle 24/01/1914 (opening); Bio 05/02/1914 (opened), 23/04/1914 (Electric, Gaumont), 12/11/1914 (Fox), 10/06/1915 (summer closing, one show nightly); Rocketts (opening date)",Gaumont programmes,53.76890636359721,7.162271635679856,0
141,Cinema141,,"Opera House, Derry",,Multipurpose venue,01-Oct-13,1913,,Derry,Derry,Carlisle Road,"Derry, County Derry",W. Payne Seddon,"R.E. Warton, Roberto Lena (1913); Mr Wynne, Gerald James (1913-16)",,,,,,,"Proprieter: W. Payne SeddonManager: R.E. Warton, Roberto Lena (1913); Mr Wynne, Gerald James (1913-16)Musical Director: ","DP 24/01/1914 (Lena); Bio 14/08/1913 (reopened), 02/10/1913 (Payne Seddon)",Opening date based on Bioscope item on 02/10/1913,54.993157492193106,-7.319395798320663,0
142,Cinema142,,"Cinema, Skerries",,Cinema,08-Sep-12,1912,,Dublin,Skerries,,"Skerries, County Dublin","Skerries Electric Theatre Co.(Francis Ahearn, I. I. Bradlaw)",,,,,,700,Pathe,"Proprieter: Skerries Electric Theatre Co.(Francis Ahearn, I. I. Bradlaw)Manager: Musical Director: ","Bio 12/09/1912 (Bradlaw, seats, projector, Gaumont), 19/19/1912 (company, Ahearn, Bradlaw), 16/10/1913 (closed)",Gaumont supplying films,53.577503,-6.104600,0
143,Cinema143,,"Rialto, Derry",,Cinema,29-Apr-18,1918,,Derry,Derry,Market Street,"Derry, County Derry",,C. Warrel,,A.J Cunningham conducting the Rialto Orchestra (ad May 1922),,,,,Proprieter: Manager: C. WarrelMusical Director: A.J Cunningham conducting the Rialto Orchestra (ad May 1922),"DJ 04/03/1918 (Warrel), 01/04/1918 (opening date);",,54.995202,-7.319824,0
144,Cinema144,,"Cinema, Derry",City of Derry Picture House,Cinema,23-Dec-12,1912,,Derry,Derry,Hawkins Street,"Derry, County Derry","City of Derry Picture House Co. (J. Boggs, R.G. Chadwick, W. Davis, W. J. Fee, W. Hamilton, H. Henderson, W. McGahey, R. Neely, B. Robinson and R. Lindsay)","Rex Palmer (""Bob the Cowboy""); 1912-Apr. 1913), James Burt (May 1913-)",,,Pianist Harry Anderson (1912-),James V. Johnston,800,The Perfect,"Proprieter: City of Derry Picture House Co. (J. Boggs, R.G. Chadwick, W. Davis, W. J. Fee, W. Hamilton, H. Henderson, W. McGahey, R. Neely, B. Robinson and R. Lindsay)Manager: Rex Palmer (""Bob the Cowboy""); 1912-Apr. 1913), James Burt (May 1913-)Musical Director: ","LS 24/12/1912 (opening, architect, seats; also ads that week); DJ 24/12/1912 (opening and ads during week); DP  28/12/1912 (opening, seats, company, location, decoration, etc); Bio 09/01/1913 (company), 23/01/1913 (construction), 06/03/1913 (furnishings), 20/11/1913 (Burt)",,54.993845,-7.321136,0
145,Cinema145,,Electric,,Cinema,28-May-14,1914,,Louth,Drogheda,Fair Street,"Drogheda, County Louth",,Mr Butler,,Miss Coughlan (1914),,,,Gaumont Chronos,Proprieter: Manager: Mr ButlerMusical Director: Miss Coughlan (1914),"Bio 28/05/1914 (street, Butler, summer closing), 06/05/1915 (films); KLW 04/06/1914 (Coughlan, Chronos);",Proprietors' company owned Bray Theatre,,,0
146,Cinema146,,Beach,Imperial Hotel,Cinema,07-Nov-12,1912,,Cork,Queenstown,West Beach,"Queenstown, County Cork",Irish Animated Picture Company (James T. Jameson),,,,,,,,Proprieter: Irish Animated Picture Company (James T. Jameson)Manager: Musical Director: ,"Bio 07/11/1912 (company, address), 11/06/1914 (Jameson)",,,,0
147,Cinema147,,Curragh Picture House,,Cinema,18-Dec-13,1913,,Kildare,Curragh,Curragh Camp,"Curragh, County Kildare",Irish Animated Picture Company (James T. Jameson & Sons),,,,,,,,Proprieter: Irish Animated Picture Company (James T. Jameson & Sons)Manager: Musical Director: ,"KLW 24/04/1913 ( Jameson, gym); Bio 11/06/1914 (Jameson, gym)",,53.14603626912055,-6.832479000243849,0
148,Cinema148,,Coleraine Picture Palace,,Cinema,,1899,,Derry,Coleraine,35 New Row (Railway Road?),"Coleraine, County Derry","Coleraine Picture Palace, Limited (J. G. A. Kidd, R. Hunter, J. Bethel, R. O’Neill and A. D. Sutherland)",R. L. Sheridan,,,,,,,"Proprieter: Coleraine Picture Palace, Limited (J. G. A. Kidd, R. Hunter, J. Bethel, R. O’Neill and A. D. Sutherland)Manager: R. L. SheridanMusical Director: ",Bio 09/07/1914 (company),,55.132931,-6.665343,0
149,Cinema149,,Melbourne Electric Theatre,,Cinema,01-Apr-12,1912,c. 01/04/1914,Antrim,Belfast,Melbourne Street,"Belfast, County Antrim",,William Robinson,,Mr McHenry (pianist),,,400,,Proprieter: Manager: William RobinsonMusical Director: Mr McHenry (pianist),"Irish Builder 16/03/1912 (conversion), Hughes 164 (opening date, Robinson, McHenry, seats)",,,,0
150,Cinema150,,Star Picture Palace,,Theatre,14-Sep-08,1908,c. 1909,Antrim,Belfast,17 Church Street,"Belfast, County Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,Open 151 (opening date); Hughes 122,,,,0
151,Cinema151,,Queen's Picture House,,Cinema,01-Dec-15,1915,,Antrim,Belfast,250-56 York Street,"Belfast, County Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,"BNL 23/03/1923 (sale ad: address), Hughes 717",,54.61331600392211,-5.9242424251933095,0
152,Cinema152,,Willowfield Picture House,,Cinema,20-Dec-15,1915,,Antrim,Belfast,209-215 Woodstock Road,"Belfast, County Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,"Hughes 717; Bio 30/12/1915 (opening films, prices)",,54.592173,-5.904105,0
153,Cinema153,,Midland Picture House,,Cinema,01-Mar-16,1916,,Antrim,Belfast,Canning Street,"Belfast, County Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,Hughes 717,,54.611724,-5.924627,0
154,Cinema154,,Duncairn Picture Palace,,Cinema,03-Jul-16,1916,,Antrim,Belfast,12 Duncairn Gardens,"Belfast, County Antrim",,"William Hogan, Will White (1917)",,J. Finlay,,F.J. Waddington (Blackpool),1200,,"Proprieter: Manager: William Hogan, Will White (1917)Musical Director: J. Finlay","BNL and IN 04/07/1916 (architect, opening, seats);Hughes 717; BNL 05/06/1917 (White)",,54.61138589531333,-5.9276136454201485,0
155,Cinema155,,New York Picture House,,Cinema,31-Jul-16,1916,c. 12/1922,Antrim,Belfast,68 York Street,"Belfast, County Antrim",Fred Stewart,Sameul J. Stonehouse; George Stewart (Nov. 1917),,,,Thomas Houston,750,,Proprieter: Fred StewartManager: Sameul J. Stonehouse; George Stewart (Nov. 1917)Musical Director: ,"BNL 01/08/1916 (Stonehouse, Stewart, opening, seats); Bio 15/11/1917 (George Stewart); Hughes 717",,,,0
156,Cinema156,,Gaiety Theatre,,Cinema,01-Nov-16,1916,,Antrim,Belfast,157-61 North Street,"Belfast, County Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,"BNL 23/03/1923 (sale ad: address), Hughes 717",,,,0
157,Cinema157,,Lyceum Picture House,,Cinema,11-Dec-16,1916,,Antrim,Belfast,Antrim Road (corner New Lodge Road),"Belfast, County Antrim",,Herbert J. Harrington,,Ernest Joy Poppelwell,,Charles A. Aickin,1000,,Proprieter: Manager: Herbert J. HarringtonMusical Director: Ernest Joy Poppelwell,"Hughes 717; NW 12/12/1916 (opening, Harrington, Aickin, Poppelwell)",,,,0
158,Cinema158,,Royal Cinema,,Cinema,16-Dec-16,1916,,Antrim,Belfast,Arthur Square (corner Castle Lane),"Belfast, County Antrim","Warden, Ltd",William A. Salmond,,"A. Ainley (Jan. 1917), S. P. Swanton (May 1917), Mortimer (? Oct 1917)",,,,,"Proprieter: Warden, LtdManager: William A. SalmondMusical Director: A. Ainley (Jan. 1917), S. P. Swanton (May 1917), Mortimer (? Oct 1917)","Hughes 718; NW 16/12/1916 (opening, construction, Warden, Salmond); Bio 18/10/1917 (Mortimer, B. N. McDowd)",,,,0
159,Cinema159,,Popular Picture House,,Cinema,29-Oct-17,1917,,Antrim,Belfast,Newtownards Road,"Belfast, County Antrim",,William Hogan,,F. Walker (late of Empire Theatre),,,,,Proprieter: Manager: William HoganMusical Director: F. Walker (late of Empire Theatre),"Bio 01/11/1917 (opening, Hogan), 15/11/1917 (opening, Walker); Hughes 718",,,,0
160,Cinema160,,Tivoli,,Cinema,01-Jul-18,1918,,Antrim,Belfast,Christian Place (Albert Street),"Belfast, Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,Hughes 718,"Fire-bombed in September 1922, but reopened according to Hughes. Map coordinates as close as I could tell, but it does not feature on PRONI historical maps","54.59819090141575, -5.94510115302685",5.94510115302685,0
161,Cinema161,,Ligoniel,Henhouse,Cinema,01-Jan-18,1918,,Antrim,Belfast,Ligoniel Road,"Belfast, Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,Hughes 718 (few details),Date and address approximate,,,0
162,Cinema162,,Sandro,,Cinema,01-Jan-19,1919,,Antrim,Belfast,71-3 Sandy Row,"Belfast, Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,Hughes 718,,,,0
163,Cinema163,,Diamond Picture House,,Cinema,01-Feb-20,1920,,Antrim,Belfast,35 Falls Road,"Belfast, Antrim",,,,,,,,,Proprieter: Manager: Musical Director: ,Hughes 718,,,,0
164,Cinema164,,World's Fair Waxworks,,Multipurpose venue,25-May-96,#NUM!,,Dublin,Dublin,30 Henry Street,"Dublin, Dublin","Charles James (1890s), Robert W. Sprengel (1912-)",,,,,,350,Pathé,"Proprieter: Charles James (1890s), Robert W. Sprengel (1912-)Manager: Musical Director: ","Bio 19/09/1912 (renovations, Sprengel, projector). Cinema Yearbook (seats)",,,,0
165,Cinema165,,"Picture House, Dungannon",Foresters' Hall,Cinema,01-Dec-14,1914,,Tyrone,Dungannon,Ann Street,"Dungannon, Tyrone",,Harry Lynton,,,,,,,Proprieter: Manager: Harry LyntonMusical Director: ,"II 04/11/1914 (small ad for leasee), 11/02/1915 (Lynton)",,,,0
166,Cinema166,,Victoria Cinema,,Cinema,02-Aug-15,1915,20/07/1926 (fire),Galway,Galway,Victoria Place,"Galway, Galway",R. W. Mackie (1915-22; J.M. McGrath (1922-26),Alf Thomas (11/1914-22/10/1915),,Mr Glennon and five musicians; J Taylor Henderson (1923),,,588,,Proprieter: R. W. Mackie (1915-22; J.M. McGrath (1922-26)Manager: Alf Thomas (11/1914-22/10/1915)Musical Director: Mr Glennon and five musicians; J Taylor Henderson (1923),"CTr 31/07/1915 (address), 16/10/1915 (Thomas' leaving benefit), 24/03/1923 (Henderson), 24/07/1926 (fire, seats); GA 05/11/2014 (history)",Map location estimated based on accounts of opening and of fire that destroyed it,53.272944049232265,-9.048827864316337,0
167,Cinema167,,"Theatre Royal, Limerick",,Theatre,16-Mar-14,1914,,Limerick,Limerick,Henry Street,"Limerick, Limerick",,George Victor Fogerty,,,,,,,Proprieter: Manager: George Victor FogertyMusical Director: ,"Bio 20/07/1911 (lecturer), 08/01/1914 (Fogerty)",Date based on change to more than equal billing for pictures (pictures and picture seasons had been a feature long before this); Lecturer Michael Fogerty,52.660985,-8.631282,0
169,Cinema169,,"Picture House, Warrenpoint",,Cinema,01-Jul-12,1912,,Down,Warrenpoint,,"Warrenpoint, Down",,W. H. Huish,,,,,,,Proprieter: Manager: W. H. HuishMusical Director: ,"Bo 04/07/1912 (open, Huish), 03/10/1914 (postcard)",,,,0
170,Cinema170,,"Assembly Rooms, Bray",,Multipurpose venue,11-Apr-12,1912,,Wicklow,Bray,Quinsboro Road,"Bray, Wicklow",,J. E. McDermott,,,,,,,Proprieter: Manager: J. E. McDermottMusical Director: ,Bio 11/04/1912 (McDermott),,,,0
171,Cinema171,,Shannon Cinema,,Cinema,14-Aug-16,1916,,Limerick,Limerick,Georges Quay,"Limerick, Limerick",Murphy and Coffey,,,,,,,,Proprieter: Murphy and CoffeyManager: Musical Director: ,"LL 11/08/1914 (opening), 14/08/1914 (opening delayed); Bio 08/11/1917 (Murphy & Coffey)",,,,0
172,Cinema172,,"Tivoli Picture House, Limerick",,Cinema,08-Nov-16,1916,,Limerick,Limerick,Assembly Mall,"Limerick, Limerick",Paul Bernard,,,,,,,,Proprieter: Paul BernardManager: Musical Director: ,Bio 08/11/1917 (Bernard),,,,0
173,Cinema173,,"Coliseum, Limerick",,Multipurpose venue,05-Nov-17,1917,,Limerick,Limerick,69 O'Connell Street,"Limerick, Limerick",Michael Gough,,,,,,580,,Proprieter: Michael GoughManager: Musical Director: ,"LL 31/10/1917 (opening); LC 03/11/1917 (opening); Bio 08/11/1917 (opening, Gough); Cork Examiner 01/02/1919 (prosecution Michael Gough), 26/05/1919 (seating)",Prosecuted for obstructed exits May 1919 (CE 26/05/1919),,,0
174,Cinema174,,Broad Street Cinema,,Cinema,08-Aug-14,1914,,Waterford,Waterford,Broad Street,"Waterford, Waterford","Waterford Cinema Company (Sidney Hamilton, Donald McGregor, E. O'Grady, R. J. Costello)",George Hay,,,,,700,,"Proprieter: Waterford Cinema Company (Sidney Hamilton, Donald McGregor, E. O'Grady, R. J. Costello)Manager: George HayMusical Director: ","Bio 04/06/1914 (company); Waterford News 06/03/1914 (premises), 20/03/1914 (seats,); ME 08/08/1914 (licence, opening)",Date of opening based on date of reported licence in ME,,,0
175,Cinema175,,"Coliseum, Waterford",Rink Picture Palace,Cinema,18-Oct-15,1915,,Waterford,Waterford,Adelphi Quay,"Waterford, Waterford","Southern Coliseums/Wright Enterprises (A. T. Wright); Waterford Cinema Company (Sidney Hamilton, Donald McGregor, E. O'Grady, R. J. Costello); Boyd (1917-)",A.J. Harris Whitney (1917-22),,Dr John Storer,,,1100,Two Pathés,"Proprieter: Southern Coliseums/Wright Enterprises (A. T. Wright); Waterford Cinema Company (Sidney Hamilton, Donald McGregor, E. O'Grady, R. J. Costello); Boyd (1917-)Manager: A.J. Harris Whitney (1917-22)Musical Director: Dr John Storer","Bio 28/10/1915 (opening, seats, Storer, two Pathés); IL 10/1917 (Boyd, Whitney); WNS 01/12/1922 (raid, Whitney)",Initially five musicians in orchestra,,,0
176,Cinema176,,"Theatre Royal, Waterford",,Multipurpose venue,01-Jan-13,1913,,Waterford,Waterford,The Mall,"Waterford, Waterford","John Collins (1906-1916), Brigid Collins (1916-)",,,,,,1200,,"Proprieter: John Collins (1906-1916), Brigid Collins (1916-)Manager: Musical Director: ",,,,,0
177,Cinema177,,"Town Hall, Dungarvan",,Multipurpose venue,07-Oct-11,1911,,Waterford,Dungarvan,St Augustine Street,"Dungarvan, Waterford",,,,,,,,,Proprieter: Manager: Musical Director: ,Munster Express 07/10/1911 (IAPC visit),,52.088688,-7.619429,1
178,Cinema178,,"Cinema Palace, Wexford",,Cinema,07-Dec-14,1914,,Wexford,Wexford,Harpurs Lane (also Cinema Lane),"Wexford, Wexford",M.J O'Connor and A.T. Wright,Charles Vize,,,,,750,,Proprieter: M.J O'Connor and A.T. WrightManager: Charles VizeMusical Director: ,"Bio ; KLW 10/12/1914 (opening), 17/12/1914 (directors, seats); Rocketts (opening date); IL Apr 1918 (Vize)",Map location approximate,52.337186912221874,-6.459716194266609,0
180,Cinema180,,Maryborough Cinema,Electric Cinema Theatre,Cinema,23-Nov-14,1914,,Queen's County/Laois,Maryborough/Portlaoise,New Road,"Maryborough/Portlaoise, Queen's County/Laois",Paul and Patrick Delaney,,,R. P. Bannan's Orchestra,,,,,Proprieter: Paul and Patrick DelaneyManager: Musical Director: R. P. Bannan's Orchestra,"Leinster Express 07/11/1914 (licence granted to Delaney), 14/11/1914 (opening), 21/11/1914 (  13/03/1915 (films, Bannan); Rocketts (opening date, address)",,,,0
